offer_type,username,online_or_auto,bank_name,max_amount,min_amount,total_amount,user_btc_available_balance,payment_method,sell_all_fiat_token
sell,thanh_cong,TRUE,Vietcombank,200000000,50000,2476713.004,2476713.004,p2p_banking,TRUE
buy,4257627,TRUE,Vietcombank,10000000,50000,8705396,107870200,p2p_banking,FALSE
buy,1737389,TRUE,Vietcombank,200000000,50000,13529353,69041267.32,p2p_banking,FALSE
sell,1452613,TRUE,Vietcombank,100000000,50000,137477629.3,137477629.3,p2p_banking,TRUE
buy,490502,FALSE,ACB,1000000000,50000,8349581392,475622866.6,local_bank,FALSE
buy,490502,FALSE,Techcombank,1000000000,50000,4874196191,327018611.6,local_bank,FALSE
sell,1737389,TRUE,Vietcombank,200000000,50000,108964277.6,108964277.6,p2p_banking,TRUE
buy,1368421,FALSE,MB,360000000,50000,9981943499,0.54178,local_bank,FALSE
buy,1123639,TRUE,Vietcombank,1000000000,200000,487875236,399648886.2,local_bank,FALSE
buy,5741573,TRUE,Techcombank,100000000,50000,4638992,0.1875,p2p_banking,FALSE
buy,5425693,TRUE,Vietcombank,1000000000,50000,3638576,8220,p2p_banking,FALSE
sell,6072865,TRUE,Vietcombank,300000000,50000,405680471.4,404359471.4,p2p_banking,TRUE
buy,2402317,TRUE,Vietcombank,1000000000,200000,487875236,7661239.876,local_bank,FALSE
sell,5694484,TRUE,Vietcombank,500000000,50000,4032773.397,661773.3975,local_bank,TRUE
sell,1123639,TRUE,Techcombank,1000000000,200000,308580989.2,308580989.2,local_bank,TRUE
sell,4710339,FALSE,MB,1000000000,50000,1271620.004,1271620.004,local_bank,TRUE
sell,4710339,FALSE,Techcombank,1000000000,50000,1271620.004,1271620.004,local_bank,TRUE
buy,388509,FALSE,VietinBank,350000000,50000,60000000,286959233.4,local_bank,FALSE
buy,3069831,TRUE,Vietcombank,1000000000,200000,487875236,0.3674972,local_bank,FALSE
buy,5999889,TRUE,BIDV,1000000000,200000,487875236,358815457,local_bank,FALSE
buy,5686249,TRUE,Vietcombank,1000000000,50000,79107742,0.38983,local_bank,FALSE
buy,5686249,TRUE,VietinBank,1000000000,50000,79107742,0.38983,local_bank,FALSE
sell,2402317,TRUE,Vietcombank,1000000000,200000,306157356,306157356.9,local_bank,TRUE
sell,6072865,TRUE,VietinBank,300000000,50000,405680471.4,404359471.4,p2p_banking,TRUE
sell,1368421,FALSE,MB,1000000000,50000,2470000.302,0.30172,local_bank,TRUE
sell,1368421,FALSE,TPBank,1000000000,50000,2470000.302,0.30172,local_bank,TRUE
buy,1368421,FALSE,BIDV,360000000,50000,9941907753,0.54178,local_bank,FALSE
sell,4987547,TRUE,Vietcombank,1000000000,50000,67824579.37,67824579.37,p2p_banking,TRUE
sell,1368421,FALSE,Techcombank,1000000000,50000,2470000.302,0.30172,local_bank,TRUE
sell,5694484,TRUE,MB,500000000,50000,6032773.397,661773.3975,local_bank,TRUE
buy,6055488,TRUE,Vietcombank,100000000,50000,86050444,0.00E+00,p2p_banking,FALSE
